"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2172870138816","28.1988590978455","28.1673524362039","28.1245884466043","28.0723885466943","28.0125741541215","27.9209808921708","27.7928546237457","27.6591321259217","27.5507501757743","27.498645550379","27.4828126677005","27.4848026556976","27.5378873564374","27.6753386119868","27.9304282644128","28.4040594680882","29.2219860543866","30.454755880876","32.172916805124","34.4470166846987","41.8107255386856","43.2896148307344","41.050500477264","38.639237611456","38.1148586893988","35.8609078798257","34.0153569947094","34.201366074335","32.6618235324139","30.5796334750125","","","","",
"American Samoa","ASM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.43388247790542","6.40170927386837","6.37616989768338","6.35674838779369","6.34292878264252","6.33419512067313","6.38012752258022","6.49782094705508","6.63803168953573","6.75151604546021","6.78903031026655","6.77037814699815","6.74783746968913","6.72087595026364","6.6889612606458","6.65156107275977","6.59952143088147","6.52275564874038","6.41933230244101","6.28731996808785","6.1247872217854","5.78713264863392","5.89952284418671","6.0364805967779","6.38148164002644","6.34587688465646","6.92969282658657","6.92339918062073","6.98174556652016","6.72853173807719","6.71514739512663","","","","",
"Antigua and Barbuda","ATG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.284943603531","19.0710476603773","18.8906318181085","18.7487984872728","18.6506500784181","18.6012890020928","18.6277742330498","18.7212912301099","18.8331321299232","18.9145890691399","18.9169541844098","18.7372798054376","18.3821312892555","17.9670703135057","17.6076585558302","17.4194576938711","17.4090026809689","17.4721028250109","17.5582313354589","17.6168614217745","17.5974662934196","17.2285490405827","17.5622893176979","18.0647918322846","18.1521399923532","19.7963197860936","19.9208792974299","19.0159494088973","18.9233007168875","19.0584631585727","19.6982695582914","","","","",
"Australia","AUS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.75571864107217","7.66990742026846","7.59467216724802","7.53122982467375","7.48079733520857","7.4445916415154","7.43197390246328","7.44167604967739","7.45897118495486","7.4691324100928","7.45743282688833","7.38895346175728","7.26633772021658","7.13120227271499","7.02516378970128","6.98983894162423","7.04814950445881","7.16629810836131","7.30082270505242","7.40826124625286","7.44515168368333","7.32070663499973","7.53280029437137","7.4331406197536","7.38760302103561","7.18466162026884","7.20069562395068","7.4285359593217","7.74121920379958","9.33099031566264","8.25171746070811","","","","",
"Austria","AUT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3587458774074","23.2910320980705","23.1405374616855","22.9222855408674","22.6512999082315","22.3426041363929","21.841054840407","21.0973266191502","20.2851700209686","19.5783355942085","19.150573887216","18.9470662603211","18.7785099320798","18.6169292381771","18.4343485142981","18.2027920961277","17.8024706211736","17.2316229771279","16.6393158749523","16.1746160256084","15.9865901400578","16.3676317593698","14.7199011900978","14.6599487004805","12.9541454673827","13.5999635409","12.5143795701306","12.1557592255042","12.5861934480679","11.4645937760057","10.9335136815146","","","","",
"Azerbaijan","AZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3714211897473","19.8908556033125","20.3103694173176","20.6244977588719","20.8277757550846","20.9147385330648","20.8394807224165","20.6109288352535","20.3058658224496","20.0010746348788","19.773338223415","19.5944802610536","19.4107005876363","19.2603464043066","19.1817649122083","19.2133033124848","19.4343550329971","19.9134764720137","20.6727592862898","21.7342951325807","23.1201756676417","27.4281061456644","29.1805878419231","28.2339828650537","26.4192082058383","25.1867220505416","24.3527968807853","23.2421881518978","23.2360923544978","22.023834941184","21.7269999756599","","","","",
"Burundi","BDI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4227110861053","29.5299432044316","29.6358595024233","29.7329987258729","29.813899620573","29.871100932316","29.9520240983583","30.082602597411","30.2231432374492","30.3339528264481","30.3753381723827","30.2604722019372","29.9953531299826","29.6795256967738","29.4125346425656","29.2939247076132","29.2878299286332","29.2950472941046","29.3201159719253","29.3675751299931","29.441963936206","30.469165919309","30.6146104955934","29.7513341993496","31.2135166042476","30.120746318795","30.7630623664928","29.3039698472733","28.3384994863636","28.7747369895123","29.6541345084659","","","","",
"Belgium","BEL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1428962341157","22.9720741916989","22.7537596621901","22.494897237939","22.2024315112951","21.8833070746079","21.479105303249","20.9711241473715","20.4258830614972","19.9099015001479","19.4896989178456","19.0777373545756","18.5922693848995","18.1085002652024","17.70163525187","17.4468796012875","17.3306080027794","17.2634972753458","17.2072058698858","17.1233922372982","16.9737148284819","16.3662739599691","15.2150084633195","14.3697873081768","12.9003587052878","13.3390429399775","12.3939007132505","12.7691577876359","12.4925874999047","11.2143791835506","11.2160664677018","","","","",
"Benin","BEN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.74970345153","54.119565014007","52.2344499355444","51.0021127590457","50.3303080274145","50.1267902835542","51.2155278710086","53.8119171122103","56.9108545183965","59.5072366008039","60.5959598706697","58.959710775616","55.0537524641043","50.38184649863","46.4477544416886","44.7552378557758","44.7014244507525","44.6821454651912","44.6992177546544","44.7544581747048","44.8496835809048","47.392759069621","51.5628188212507","42.0881252510416","42.0112596872744","66.6561284323416","59.4793406242621","58.3879587239383","54.0562679352757","46.5625275293874","51.0478241974862","","","","",
"Burkina Faso","BFA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0976412741895","55.1235582789898","53.8064846085499","53.0209999693098","52.6416840677096","52.5431166101896","53.564116522877","55.9993949161481","58.9073697728157","61.3464590756929","62.3750808075926","62.3379649328232","62.2240148148469","62.0579085352073","61.8643241754484","61.6679398171137","61.4372319070742","61.0944586765371","60.5949708835501","59.8941192861613","58.9472546424185","55.571613014377","61.7629044746867","48.6056903850732","49.9195641760489","71.873244459767","66.0917117316937","60.3100692778775","58.1036119011901","50.7057233570721","58.4706762025055","","","","",
